ID,Name,ImpactFactor,TypeofScience,publisher,URL,URL2,data_sharing_req_pub,data_sharing_req_noeffct_pub,data_sharing_encouraged,data_sharing_review,data_sharing_mentioned,data_sharing_protein,data_sharing_codes,data_sharing_none,protein_deposit,code_deposit,trial_deposit,online_reposit,journal_host_sharing,share_request_to_author,multiple_sharing,unspecified_sharing,journal_host_all,journal_host_limit,journal_host_unspecified,open_access,Subcription.,data_copyright,archival,reproducibility
2,ACADEMY OF MANAGEMENT REVIEW,9.408,S,Academy of Management,http://aom.org/Publications/AMR/Information-for-Contributors.aspx,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
3,ACCIDENT ANALYSIS AND PREVENTION,2.685,S,Elsevier,https://www.elsevier.com/journals/accident-analysis-and-prevention/0001-4575/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
4,ACM Transactions on Autonomous and Adaptive Systems,2.133,M,Association for Computing Machinery ,https://taas.acm.org/authors.cfm,https://www.acm.org/publications/authors/acm-author-izer-service,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
5,ACM Transactions on Computer-Human Interaction,2.227,M,Association for Computing Machinery ,http://tochi.acm.org/authors/ ,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
6,ACTA CARSOLOGICA,0.585,P,ZRC SAZU Publishing,https://ojs.zrc-sazu.si/carsologica/about/submissions#authorGuidelines,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,0
7,ACTA MECHANICA,1.851,P,Springer Vienna,https://www.springer.com/engineering/mechanics/journal/707,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
8,Acta Medica Portuguesa,0.498,C,Ordem dos MeÌdicos,https://www.actamedicaportuguesa.com/revista/index.php/amp/about/editorialPolicies#openAccessPolicy,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,1
9,ACTA PHYSICA POLONICA B,0.904,P,Jagiellonian University,http://www.actaphys.uj.edu.pl/docs/GuideToAuthors.pdf,http://www.actaphys.uj.edu.pl/for_authors/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
10,ADVANCES IN APPLIED MATHEMATICS,0.849,M,Elsevier,https://www.elsevier.com/about/our-business/policies/research-data,https://www.elsevier.com/journals/advances-in-applied-mathematics/0196-8858/guide-for-authors,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
11,Advances in Applied Mathematics and Mechanics,0.763,M,Cambridge University Press,http://www.global-sci.com/authors/index.html,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
15,Advances in Marine Biology,2.286,B,Elsevier,https://www.elsevier.com/authors/journal-authors/policies-and-ethics,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,1,0,1
16,Advances in Neonatal Care,1.277,C,Lippincott Williams & Wilkins,http://edmgr.ovid.com/anc/accounts/ifauth.htm#ConditionsforSubmission,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
17,Advances in Optics and Photonics,17.833,P,The Optical Society (OSA),https://www.osapublishing.org/submit/review/ethical_guidelines(jan2012).pdf,https://www.osapublishing.org/submit/style/multimedia.cfm#dataset,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
18,ADVANCES IN PHYSIOLOGY EDUCATION,1.755,B,The American Physiological Society,https://www.physiology.org/author-info.data-supplements,https://www.physiology.org/author-info.fetal-tissue-policy,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,NA,NA,NA,1,0,1,0,1
19,ADVANCES IN STRUCTURAL ENGINEERING,0.829,P,Sage,https://us.sagepub.com/en-us/nam/ethics-responsibility,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
20,AFRICAN INVERTEBRATES,0.622,B,Pensoft Publishers,https://africaninvertebrates.pensoft.net/about#Author-Guidelines,Copyrights https://riojournal.com/articles.php?id=12431&instance_id=3306530,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,1,0,1,0,1
21,African Journal of Wildlife Research,0.312,B,Southern African Wildlife Management Association,http://peertrack.net/SAWMA/AUTHORS-GUIDE-REV-SEP-15.pdf,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
22,AGRICULTURAL HISTORY,0.163,S,American Agricultural History Society,http://www.aghistorysociety.org/journal/submit/,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
23,AIDS RESEARCH AND HUMAN RETROVIRUSES,2.095,C,Mary Ann Liebert,https://home.liebertpub.com/authors/policies/152#self-archiving,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
25,AMERICAN ANNALS OF THE DEAF,1.024,S,Gallaudet University Press,http://gupress.gallaudet.edu/annals/submit.htm,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
26,AMERICAN ANTHROPOLOGIST,1.58,S,Wiley,https://authorservices.wiley.com/open-science/open-data/index.html,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
27,AMERICAN JOURNAL OF BIOETHICS,6.434,S,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?journalCode=uajb20&page=instructions,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
28,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,2.4,C,Oxford University Press,https://academic.oup.com/journals/pages/open_access/funder_policies,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,1,0,0
29,AMERICAN JOURNAL OF HUMAN BIOLOGY,1.78,S,Wiley,https://onlinelibrary.wiley.com/page/journal/15206300/homepage/forauthors.html#_5._EDITORIAL_POLICIES,NA,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
30,AMERICAN JOURNAL OF OPHTHALMOLOGY,5.052,C,Elsevier,https://www.elsevier.com/journals/american-journal-of-ophthalmology/0002-9394/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
31,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,1.692,S,American Psychological Association,http://www.apa.org/pubs/authors/instructions.aspx,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0
32,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,3.348,B,The American Physiological Society,https://www.physiology.org/author-info.data-repositories,https://www.physiology.org/author-info.promoting-transparent-reporting,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,1
33,AMERICAN PSYCHOLOGIST,6.681,S,American Psychological Association,http://www.apa.org/pubs/authors/instructions.aspx,http://www.apa.org/pubs/authors/instructions.aspx,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0
34,Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,0.422,M,"Faculty of Mathematics and Computer Science, Ovidius University, Constanta, Romania",http://www.anstuocmath.ro/instructions-to-authors,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
35,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,0.623,M,Springer,https://www.springer.com/engineering/electronics/journal/10470?detailsPage=pltci_1060487,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
36,Anatomical Sciences Education,3.198,S,Wiley,https://onlinelibrary.wiley.com/page/journal/19359780/homepage/forauthors.html#11,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
37,ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,1.08,M,?,http://www.imstat.org/journals-and-publications/annales-de-linstitut-henri-poincare/annales-de-linstitut-henri-poincare-manuscript-submission/,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
38,ANNALES HENRI POINCARE,1.599,P,Springer,https://www.springer.com/birkhauser/physics/journal/23,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
39,Annals of Animal Science,0.731,B,DE GRUYTER OPEN,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
40,ANNALS OF EMERGENCY MEDICINE,5.352,C,Elsevier,https://www.annemergmed.com/content/submitting#handling,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
41,Annals of Functional Analysis,0.477,M,Duke University Press,https://www.dukeupress.edu/Annals-of-Functional-Analysis/?viewby=journal,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
42,ANNALS OF GEOPHYSICS,0.915,P,Istituto Nazionale di Geofisica e Vulcanologia,https://www.annalsofgeophysics.eu/index.php/annals/about/editorialPolicies#openAccessPolicy,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,0
43,ANNALS OF MATHEMATICS,3.921,M,Princeton University,http://annals.math.princeton.edu/submission-guidelines,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
44,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,0.807,M,Springer,https://www.springer.com/computer/ai/journal/10472?detailsPage=pltci_3120653,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
45,ANNALS OF ONCOLOGY,11.855,C,Oxford University Press,https://academic.oup.com/journals/pages/access_purchase/rights_and_permissions/self_archiving_policy_a,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
46,ANTHROPOZOOLOGICA,0.607,S,National Museum of Natural science,http://sciencepress.mnhn.fr/sites/default/files/periodiques/pdf/ia-anthropozoologica-2018-flux-continu_en.pdf,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
47,ANTICANCER RESEARCH,1.937,C,International Institute of Anticancer Research,http://ar.iiarjournals.org/site/misc/ifora.xhtml,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
48,ANXIETY STRESS AND COPING,2.042,S,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gasc20#about,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
49,Applied and Computational Mathematics,1.333,M,Science Publishing Group,http://www.sciencepublishinggroup.com/journal/guideforauthors?journalid=147,http://www.sciencepublishinggroup.com/info/forauthors,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
50,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,1.751,B,Springer,https://www.springer.com/chemistry/biotechnology/journal/12010?detailsPage=pltci_426146,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
51,APPLIED BIOCHEMISTRY AND MICROBIOLOGY,0.659,B,Springer,http://pleiades.online/en/journal/appbio/ethics/,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
52,APPLIED ENGINEERING IN AGRICULTURE,0.505,P,American Society of Agricultural and Biological Engineers,https://www.asabe.org/Portals/0/aPubs/GuideForAuthors.pdf?ver=2018-05-09-160038-000,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
53,APPLIED ERGONOMICS,1.866,S,Elsevier,https://www.elsevier.com/authors/journal-authors/submit-your-paper/sharing-and-promoting-your-article,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
54,APPLIED MATHEMATICAL MODELLING,2.35,M,Elsevier,https://www.elsevier.com/journals/applied-mathematical-modelling/0307-904x/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
55,APPLIED MATHEMATICS LETTERS,2.233,M,Elsevier,https://www.elsevier.com/about/policies/research-data,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
56,Applied Mathematics-A Journal of Chinese Universities Series B,0.247,M,Springer,file:///C:/Users/moralesm4/Downloads/11766%20Applied%20Mathematics_318.pdf,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
57,APPLIED OPTICS,1.65,P,The Optical Society,https://www.osapublishing.org/submit/review/ethics.cfm,https://www.osapublishing.org/ao/submit/style/multimedia.cfm,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,1,0,0
58,APPLIED SOIL ECOLOGY,2.786,B,Elsevier,https://www.elsevier.com/journals/applied-soil-ecology/0929-1393/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
59,APPLIED VEGETATION SCIENCE,2.474,B,Wiley,https://onlinelibrary.wiley.com/page/journal/1654109x/homepage/forauthors.html,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0
60,Arabian Journal of Geosciences,0.955,P,Springer,https://www.springer.com/earth+sciences+and+geography/journal/12517?detailsPage=pltci_1060692,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
61,Archives of Agronomy and Soil Science,2.137,B,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gags20#dsp,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
62,ARCHIVES OF PSYCHIATRIC NURSING,1.201,C,Elsevier,https://www.psychiatricnursing.org/content/authorinfo#idp1494560,NA,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
63,ARCHIVES OF SUICIDE RESEARCH,1.901,S,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=usui20,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
64,Arthropod-Plant Interactions,1.441,B,Springer,https://www.springer.com/life+sciences/entomology/journal/11829?detailsPage=pltci_2095509,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0
65,ASAIO JOURNAL,2.19,C,Celia Braithwait,http://edmgr.ovid.com/asaio/accounts/ifauth.htm,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
66,Asian and Pacific Migration Journal,0.357,S,Sage,https://us.sagepub.com/en-us/nam/journal/asian-and-pacific-migration-journal#OpenAccess,https://us.sagepub.com/en-us/nam/supplementary-files-on-sage-journals-sj-guidelines-for-authors,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0
67,Asian Women,0.133,S,The Research Institute of Asian Women,http://www.e-asianwomen.org/,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
68,Asia-Pacific Journal of Chemical Engineering,0.836,P,Wiley,https://authorservices.wiley.com/author-resources/Journal-Authors/licensing-open-access/open-access/data-sharing.html,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
69,Asia-Pacific Journal of Public Health,0.811,S,Sage,https://us.sagepub.com/en-us/nam/journal/asia-pacific-journal-public-health#submission-guidelines,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
70,AUSTRALIAN ARCHAEOLOGY,0.961,S,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?journalCode=raaa20&page=instructions,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
71,AUSTRALIAN ECONOMIC PAPERS,0.294,S,Wiley,https://onlinelibrary.wiley.com/page/journal/14678454/homepage/ForAuthors.html#editorial,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
72,Australian Journal of Forensic Sciences,0.778,S,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tajf20#dsp,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
73,AUSTRALIAN JOURNAL OF ZOOLOGY,0.766,B,CSIRO Publishing,https://www.publish.csiro.au/zo/PublishingPolicies#index,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
74,Australian Meteorological and Oceanographic Journal,0.979,B,Australian Meteorological and Oceanographic Society,http://www.bom.gov.au/amm/ammnotes.shtml,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
75,Balkan Medical Journal,1.083,C,Galenos Publishing House,http://balkanmedicaljournal.org/static.php?id=10,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
76,Bayesian Analysis,1.464,M,International Society for Bayesian Analysis,https://projecteuclid.org/authors/euclid.ba,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,0
77,Behavior Research Methods,3.623,S,Springer,https://www.springer.com/psychology/cognitive+psychology/journal/13428,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
78,BEHAVIORAL DISORDERS,0.972,C,Sage,https://mc.manuscriptcentral.com/societyimages/bd/AuthorGuidelines_BD_S1_5-18.pdf,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
79,BEHAVIOUR CHANGE,0.658,C,Cambridge University Press,https://www.cambridge.org/core/services/open-access-policies/social-sharing,https://www.cambridge.org/core/services/aop-file-manager/file/577e8052305e5f6238dd11cc/Cambridge%20Core%20author%20guide%20-%20A%20guide%20to%20publishing%20supplementary%20material.pdf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
80,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,0.627,B,Wiley,https://iubmb.onlinelibrary.wiley.com/hub/journal/15393429/author-guidelines.html,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
81,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,2.773,B,Elsevier,https://www.elsevier.com/journals/bba-proteins-and-proteomics/1570-9639/guide-for-authors,NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
82,Bioinspired Biomimetic and Nanobiomaterials,0.787,B,Institution of Civil Engineers,https://www.icevirtuallibrary.com/page/authors/preparing-your-manuscript/guidelines-engineering,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,0,0
83,BIOMARKERS,2.006,B,Taylor & Francis,https://www.tandfonline.com/action/authorSubmission?journalCode=ibmk20&page=instructions#dsp,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
84,Biomedical Signal Processing and Control,2.214,B,Elsevier,https://www.elsevier.com/journals/biomedical-signal-processing-and-control/1746-8094/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
85,BIOMETRICAL JOURNAL,1.075,M,Wiley,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/15214036/Instructions_to_Authors2__revised_October_2015_-1509621637000.pdf,NA,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
86,BIOMETRICS,1.329,M,Wiley,http://www.biometrics.tibs.org/,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
87,BIOORGANIC & MEDICINAL CHEMISTRY,2.93,B,Elsevier,https://www.elsevier.com/journals/bioorganic-and-medicinal-chemistry/0968-0896/guide-for-authors,NA,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
88,BIOPHYSICAL CHEMISTRY,2.402,P,Elsevier,https://www.elsevier.com/journals/biophysical-chemistry/0301-4622/guide-for-authors,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,1
89,Biopreservation and Biobanking,1.698,B,"Mary Ann Liebert, Inc.",https://home.liebertpub.com/publications/biopreservation-and-biobanking/110/for-authors,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
90,BIOSTATISTICS,1.798,M,Oxford University Press,https://academic.oup.com/biostatistics/pages/General_Instructions,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,1
91,Biotechnology for Biofuels,5.203,B,BioMed Central (BMC),https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,NA,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,NA,NA,NA,1,0,0,0,0
92,BJU INTERNATIONAL,4.439,C,Wiley,https://onlinelibrary.wiley.com/page/journal/1464410x/homepage/ForAuthors.html,NA,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,NA,NA,0,1,0,0,0
